date,province,wind,wind_d,rain,humidi,cloud,pressure,temp,day,month,year
2009-01-01,Ha Noi,6,NNE,0.0,70,44,1025,15.5,1,1,2009
2009-01-02,Ha Noi,6,ESE,0.5,65,28,1025,15.0,2,1,2009
2009-01-03,Ha Noi,5,ESE,0.7,74,40,1022,16.5,3,1,2009
2009-01-04,Ha Noi,5,SSW,0.0,81,46,1018,18.5,4,1,2009
2009-01-05,Ha Noi,5,S,1.3,90,75,1017,18.5,5,1,2009
2009-01-06,Ha Noi,5,E,2.2,88,59,1018,19.0,6,1,2009
2009-01-07,Ha Noi,9,NNE,1.1,85,95,1023,14.0,7,1,2009
2009-01-08,Ha Noi,8,E,0.5,78,91,1026,13.5,8,1,2009
2009-01-09,Ha Noi,10,SE,0.1,61,23,1029,15.0,9,1,2009
2009-01-10,Ha Noi,6,ENE,0.0,50,2,1027,15.0,10,1,2009
2009-01-11,Ha Noi,4,E,0.0,46,1,1024,15.5,11,1,2009
2009-01-12,Ha Noi,6,SE,0.0,51,5,1028,15.5,12,1,2009
2009-01-13,Ha Noi,6,SE,0.0,45,3,1030,15.5,13,1,2009
2009-01-14,Ha Noi,5,NNE,0.0,45,4,1029,15.5,14,1,2009
2009-01-15,Ha Noi,5,ENE,0.0,41,8,1027,16.0,15,1,2009
2009-01-16,Ha Noi,4,SSW,0.0,51,2,1024,18.0,16,1,2009
2009-01-17,Ha Noi,5,S,0.0,66,5,1020,18.5,17,1,2009
2009-01-18,Ha Noi,4,SE,0.1,84,52,1018,17.5,18,1,2009
2009-01-19,Ha Noi,8,SSE,0.2,80,46,1015,19.5,19,1,2009
2009-01-20,Ha Noi,7,SE,0.2,80,52,1014,21.0,20,1,2009
2009-01-21,Ha Noi,9,SE,4.5,86,74,1018,17.0,21,1,2009
2009-01-22,Ha Noi,6,SE,0.2,71,36,1015,20.0,22,1,2009
2009-01-23,Ha Noi,9,E,2.4,87,87,1018,15.5,23,1,2009
2009-01-24,Ha Noi,9,NE,5.7,78,98,1025,11.0,24,1,2009
2009-01-25,Ha Noi,3,SE,0.9,76,71,1021,10.5,25,1,2009
2009-01-26,Ha Noi,7,E,1.8,85,96,1021,10.5,26,1,2009
2009-01-27,Ha Noi,3,SSW,1.0,82,59,1021,10.0,27,1,2009
2009-01-28,Ha Noi,3,SSE,0.0,80,78,1017,13.0,28,1,2009
2009-01-29,Ha Noi,5,SSW,1.3,84,62,1018,18.0,29,1,2009
2009-01-30,Ha Noi,4,ESE,0.0,72,2,1017,20.0,30,1,2009
2009-01-31,Ha Noi,8,SE,0.0,75,15,1016,18.5,31,1,2009
2009-02-01,Ha Noi,3,ENE,0.8,91,85,1018,16.5,1,2,2009
2009-02-02,Ha Noi,6,ESE,0.8,84,72,1017,20.5,2,2,2009
2009-02-03,Ha Noi,6,SE,0.0,79,54,1016,21.0,3,2,2009
2009-02-04,Ha Noi,7,SE,0.0,77,40,1016,22.5,4,2,2009
2009-02-05,Ha Noi,7,SE,0.0,78,43,1017,21.5,5,2,2009
2009-02-06,Ha Noi,7,ESE,0.0,64,19,1018,23.0,6,2,2009
2009-02-07,Ha Noi,8,SE,0.0,71,13,1017,22.0,7,2,2009
2009-02-08,Ha Noi,8,ESE,0.0,70,20,1018,22.5,8,2,2009
2009-02-09,Ha Noi,5,E,0.0,68,15,1018,24.0,9,2,2009
2009-02-10,Ha Noi,5,SE,0.0,64,7,1017,25.0,10,2,2009
2009-02-11,Ha Noi,10,SSE,0.0,62,7,1012,25.0,11,2,2009
2009-02-12,Ha Noi,10,S,0.0,54,4,1005,28.0,12,2,2009
2009-02-13,Ha Noi,8,SSW,0.0,40,0,1004,30.5,13,2,2009
2009-02-14,Ha Noi,6,SE,0.0,43,0,1006,31.5,14,2,2009
2009-02-15,Ha Noi,10,SE,0.0,56,0,1008,30.0,15,2,2009
2009-02-16,Ha Noi,10,SE,0.0,71,27,1012,27.0,16,2,2009
2009-02-17,Ha Noi,13,SE,0.3,73,55,1014,26.0,17,2,2009
2009-02-18,Ha Noi,11,SE,0.4,77,52,1013,25.0,18,2,2009
2009-02-19,Ha Noi,14,SSE,0.7,72,52,1011,26.5,19,2,2009
2009-02-20,Ha Noi,8,E,3.6,80,97,1016,21.5,20,2,2009
2009-02-21,Ha Noi,9,SE,1.0,83,91,1012,21.5,21,2,2009
2009-02-22,Ha Noi,10,SE,0.5,73,43,1006,28.5,22,2,2009
2009-02-23,Ha Noi,10,SE,0.0,63,16,1007,30.0,23,2,2009
2009-02-24,Ha Noi,11,SE,0.0,58,12,1008,31.0,24,2,2009
2009-02-25,Ha Noi,10,SE,0.0,66,17,1009,29.5,25,2,2009
2009-02-26,Ha Noi,13,SE,0.2,67,28,1010,28.5,26,2,2009
2009-02-27,Ha Noi,12,SE,2.1,72,54,1011,27.5,27,2,2009
2009-02-28,Ha Noi,9,E,2.5,79,92,1014,23.0,28,2,2009
2009-03-01,Ha Noi,7,NNE,5.1,80,100,1017,17.0,1,3,2009
2009-03-02,Ha Noi,6,ENE,1.2,82,92,1017,17.5,2,3,2009
2009-03-03,Ha Noi,4,ESE,0.9,81,87,1015,18.5,3,3,2009
2009-03-04,Ha Noi,5,SSE,2.3,89,83,1010,20.5,4,3,2009
2009-03-05,Ha Noi,8,ENE,2.8,88,88,1010,20.5,5,3,2009
2009-03-06,Ha Noi,7,NE,1.0,80,94,1016,17.0,6,3,2009
2009-03-07,Ha Noi,7,ESE,0.3,70,57,1017,18.5,7,3,2009
2009-03-08,Ha Noi,4,ESE,1.1,83,71,1014,19.5,8,3,2009
2009-03-09,Ha Noi,7,SSE,0.9,68,37,1017,22.0,9,3,2009
2009-03-10,Ha Noi,9,SE,0.0,80,38,1012,22.5,10,3,2009
2009-03-11,Ha Noi,9,ESE,0.9,78,37,1009,26.5,11,3,2009
2009-03-12,Ha Noi,11,SE,0.4,78,41,1010,27.5,12,3,2009
2009-03-13,Ha Noi,10,E,6.2,78,56,1018,22.0,13,3,2009
2009-03-14,Ha Noi,7,SE,0.0,51,4,1024,19.5,14,3,2009
2009-03-15,Ha Noi,6,SE,0.0,59,5,1018,20.5,15,3,2009
2009-03-16,Ha Noi,7,ESE,0.0,78,31,1014,21.0,16,3,2009
2009-03-17,Ha Noi,7,ESE,0.8,83,66,1011,23.5,17,3,2009
2009-03-18,Ha Noi,5,ESE,0.4,85,75,1010,23.5,18,3,2009
2009-03-19,Ha Noi,7,ESE,1.1,81,64,1011,25.5,19,3,2009
2009-03-20,Ha Noi,8,SE,3.5,88,70,1011,26.0,20,3,2009
2009-03-21,Ha Noi,9,SE,0.0,75,30,1008,28.0,21,3,2009
2009-03-22,Ha Noi,8,ESE,0.0,67,16,1007,31.0,22,3,2009
2009-03-23,Ha Noi,7,E,0.0,61,22,1008,31.5,23,3,2009
2009-03-24,Ha Noi,7,ENE,1.7,82,84,1011,25.5,24,3,2009
2009-03-25,Ha Noi,5,ENE,4.9,88,96,1014,22.0,25,3,2009
2009-03-26,Ha Noi,8,E,0.4,83,75,1012,23.5,26,3,2009
2009-03-27,Ha Noi,8,SE,0.4,79,51,1010,26.0,27,3,2009
